sentence,hate,category
"""তোমরা সবাই জানো, এই দেশটির অর্থনীতির তিনটি পিলারের একটি হচ্ছে গার্মেন্টসকর্মী, যার প্রায় পুরোটাই নারী; দ্বিতীয়টি হচ্ছে চাষী, যাদের আমরা অবহেলার চোখে দেখি এবং তৃতীয়টি হচ্ছে প্রবাসী শ্রমিক, যারা বিদেশ-বিভূঁইয়ে নিঃসঙ্গ প্রবাস জীবনে দেশের জন্যে রেমিট্যান্স অর্জন করে যাচ্ছে। সবাই কি লক্ষ্য করেছে, এই দেশের অর্থনীতিকে ধরে রাখার জন্যে এই তিনটি পিলারই কিন্তু শরীরের ঘাম ফেলে কাজ করে যাচ্ছে? তোমাদের কিংবা আমাদের মতো শিক্ষিত মানুষ, যারা মস্তিষ্ক দিয়ে কাজ করি, তারা কিন্তু এখনও অর্থনীতির চতুর্থ পিলার হতে পারিনি। আমাদের চতুর্থ পিলার হতে হবে, আমাদের মেধাকে নিয়ে দেশের শ্রমজীবী মানুষের পাশে এসে দাঁড়াতে হবে। যতক্ষণ পর্যন্ত আমরা সেটি করতে না পারব, ততক্ষণ দেশের প্রতি আমাদের দায়িত্ব পালন করা হবে না।,,★★★★★ দারুণ লিখেছেন, প্রিয় স্যার। আপনার মতো করে কেউ আমাদের কথা বলে না। ভালো থাকুন, ভালোবাসা ও শুভকামনা নিরন্তর।",0,gender
"""পৃথিবী "" বানান ঠিক করেন৷ ক্লাস ২ এর বানান; তাও পারেন না। আমি লেখাটি পড়ে বানান ভুলের জন্য ১ দিলাম।",0,personal
"""পৃথিবীর বড় কোন কাজ প্রতিযোগিতা দিয়ে হয়না, সব বড় কাজ হয় সহযোগীতা দিয়ে "" (Y)",0,"meme, tiktok and others"
"""রাজাকার"" উপাধি কেউ ইচ্ছা করে লাগায় নাই। মতিয়া চৌধুরী সমস্ত আন্দোলনরত ছাত্রদের নিজে এই উপাধি দিয়েছেন। বমি করতে হলে তার গায়ে করেন �����",0,"meme, tiktok and others"
"""সমস্ত পরিক্ষার প্রশ্ন পত্র ফাঁস হবে"" এই কথাটা হয়তো সরকার সংবিধানে লিখেছে |",0,"meme, tiktok and others"
“আপু আপনি অই ছেলেটার সাথে দেখা করবেন না।কারণ অই ছেলেটা আপনার সম্মান রাখে নি”আমি আপনার ছোট বোন হিসাবে কথাটা বলেচি।,0,personal
“রোশনাই ডে-কেয়ার সেন্টার” আমাদের নতুন ব্রাঞ্চ #শেওড়াপাড়া। আগ্রহীরা দ্রুত যোগাযোগ করুন। গৃহকর্মী সংকটে কর্মজীবী মা-বাবারা দিশাহারা। সন্তানকে গৃহকর্মীর কাছে রেখেও চিন্তার শেষ নেই। বাচ্চা খেয়েছে তো? কোনো বিপদ হলো না তো? কর্মজীবী মা-বাবার এমন হাজারো চিন্তার সমাধান হতে পারে ডে কেয়ার সেন্টার বা দিবা শিশু পরিচর্যা কেন্দ্র। কর্মজীবী মানুষের জন্য আমাদের ক্ষুদ্র প্রচেষ্টা। আপনার বাচ্চাকে নিশ্চিন্তে আমাদের কাছে রেখে যেতে পারেন। সেবা ও বিধি: ১। সকাল ৮টা থেকে সন্ধা ৭টা পর্যন্ত চলবে। ২। বাচ্চাকে নিজেদের রেখে যেতে হবে। অভিভাবক ব্যতীত কারো কাছে ফেরত দেয়া হবে না। ৩। অভিজ্ঞ কর্মীদের দ্বারা দেখাশোনা ও খাওয়ানো হবে। খেলনার ব্যবস্থা আছে। ৪। বিকেলে পড়ানোর ব্যবস্থা আছে। #লোকেশন: মিরপুর-২ এ সফলতার সাথে ব্রাঞ্চ পরিচালিত হচ্ছে।,0,"meme, tiktok and others"
"”কাছে, খুব কাছেই পুলিশ নিস্পৃহভাবে দাঁড়িয়ে আছে, তাকিয়ে তাকিয়ে ঘটনাটা দেখছে, কিন্তু কিছু করছে না “হঠাৎ ঘটে যাওয়া ঘটনা পুলিশ হয়ত কিংকর্তব্যবিমূঢ় হতে পারে। কিন্তু পত্রিকাতেই দেখেছি পুলিশ হাসপাতালে নেবার জন্য সহযোগিতা করছে। বাংলাদেশ পুলিশ বাহিনীর বিরুদ্ধে এমন ঢালাও সরাসরি মন্তব্য এবং উষ্কে দেবার জন্য আপনার নামে মামলা হওয়া প্রয়োজন বলে আমি মনে করি। যারা মেরেছে বা অভিজিত ২ ই খারাপ দলের, তার থেকে বেশী খারাপ এই সব তথ্কতিত, সুবিধাভূগী স্বঘোষিত বুদ্ধিজিবিরা। এদের থেকে দেশবাসী সাবধান।",0,personal
"(গে)রা যোগাযোগ করতর পারেন,,,,ব্যবস্থা করে দিব",0,"meme, tiktok and others"
@Salauddin Kader: যার ঈমান নাই তার ফ্যানপেজ এ আসতে বলছে কে? মুখে শুধু বড়বড় কথা। বেহায়া কোথাকার।,0,"meme, tiktok and others"
"@আরিফ ভাই, ""ইংরেজি যেহেতু আমাদের নিজেদের ভাষা না, তাই সেটা লিখতে গিয়ে কিছু ভুলভাল হতেই পারে, তাতে লজ্জিত হওয়ার কিছু নাই।""- আশা করি জবাব এ লাইনেই আছে। আর গাল ভরা আবেগ থেকেই অনেক বড় কিছু হয়। এদেশের স্বাধীনতা আন্দোলনের শুরুটাও এক হিসেবে গাল ভরা আবেগ ছিল। আমরা বাংলা ভাষার জন্য রক্ত দিয়েছি, এখন সামান্য বাংলা ফন্ট ইন্সটল না করার পেছনে কেন এত যুক্তি?",0,"meme, tiktok and others"
"*** "" অসাধারণ লিখেছেন ""। ধন্যবাদ।",0,"meme, tiktok and others"
"# দেখেন_vaijanনাস্তিকতার কোথায়লেখা আছে অন্যের ধর্মকে আঘাতকরতে হবে ?অন্যের অনুভুতিতে কষ্ট দিতে হবে ?একজন মুসলমান যেমন কুরআনঅনুযায়ী অন্যেরধর্মকে অবমাননা করতে পারেন না ,ঠিক তেমনি অন্য ধর্মের কেউ ই ইসলামকে ,রাসুল (সাঃ)কে গালি গালি গালাজকরতে পারবেন না ,আমি আপনি হয়তো # অভিজিত কে মনথেকে তার ঘৃণ্য কর্মের জন্য খারাপভাবতে পারি ... কিন্তু অনেক মানুষেরএই টুকু সহ্য শক্তি নাও থাকতে পারেপ্রকাশ্যে একজন কে এই ভাবে হত্যারবিচার চাওয়া যেতেই পারে ,কিন্তু ধর্ম অনুভুতিতে আঘাত করারবিচার চাওয়া যাবেনা , তাইতো ?আপনি ধর্ম মানেন না ১০০% ঠিকআছে এটা আপনার ব্যক্তিগত ব্যপার,কিন্তু অন্যের ধর্ম অনুভুতিতে আঘাতকরেন এত স্পর্ধা আপনারআসে কোথা থেকে ?যে অন্যের ধর্মকে সম্মানকরতে জানে না , সে নিজ ধর্মকে কতটুকুসম্মান করে ?আজ হিন্দু দেব দেবতার, নামে , যিশুরনামে গালি দিলে আপনারা কত টুকুঘৃণা আনবেন সেই গালি দেয়া ব্যক্তিরপ্রতি ? জানতে চাই ...এদেশে ইসলামের কথা বললেই ছাগুট্যাগ ?বঙ্গবন্ধুর কথা বললে আওমী ট্যাগ ?জিয়ার কথা বললে বিম্পি ট্যাগ ?শত শত মানুষের সামনে পেট্রোল বোমায়মানুষ মরছে শাহ বাগে আসেন না ,এক #অভিজিত মরারসাথে সাথে চেতনা আকাশে উঠে যায় ?নোংরা রাজনিতির খেলায়আমজনতা মরছে - its a usual matter !আর অভিজিত মরলে আপনার mind consciousহয়ে বলে- পুলিশ কি করছিল ?",0,"calltoviolence, personal, religious, slander, sports"
#Happy_New_Year_BANG-LA-DESH!! #Happy_new_year_dear_SIR. ধানের শীষে ভোট দেওয়ায় ৪ সন্তানের মাকে ‘আওয়ামী লীগ কর্মীদের গণধর্ষণ’ thedailystar.net,0,calltoviolence
#চে## বা#গুলা খুব শিঘ্রী কাটবো।।।আমরা একাই কাটতে পারি✌✌✌��� #আপনি ঘুমান,0,"meme, tiktok and others"
"#ধর্ষনের_সাজাঃ- �আমেরিকাঃ-ধর্ষিতার বয়স ও ধর্ষনের মাত্রা দেখে ৩০বছর পর্যন্ত কারাদন্ড। �রাশিয়াঃ-২০বছর সশ্রম কারাদন্ড। �চীনঃ-কোনো ট্রায়াল নেই,মেডিকেল পরীক্ষার পর মৃত্যুদন্ড। �পোল্যান্ডঃ-হিংস্র বন্য শুয়োরের খাঁচায় ফেলে মৃত্যুদন্ড। �মধ্যপ্রাচ্য আরব দুনিয়াঃ-শেষ নিঃশ্বাস ত্যাগ করা পর্যন্ত পাথর ছুড়ে মৃত্যু,ফাঁসি,যৌবন নাশক ইনজেকশন পুশ করে কারাদন্ড। �দক্ষিন আফ্রিকাঃ-২০বছরের কারাদন্ড। �মঙ্গোলিয়াঃ-ধর্ষিতার পরিবারের হাত দিয়ে মৃত্যুদন্ড দিয়ে প্রতিশোধ পুরণ। � নেদারল্যান্ডঃ-নির্যাতনের আআলোকে ভিন্ন ভিন্ন সাজা। �আফগানিস্তানঃ-৪দিনের ভিতর গুলি করে হত্যা। �পাকিস্তান ও মালয়শিয়াঃ-মৃত্যুদন্ড। �বাংলাদেশেঃ-প্রতিবাদ,ধর্না,তদন্ত,সমঝোতার চেষ্টা, ঘুষ দেওয়া,অপরাধী প্রভাবশালীদের লোক বলে মামলা তুলে নেওয়ার হুমকি,মেয়েটির চরিত্র নিয়ে গবেষণা, মেয়েটা পর্দা করতো না বলে বদনাম করা,সংবাদমাধ্যম ও টকশোতে আলোচনার আসর,রাজনীতিকরন,জাতি ও ধর্মগত বিভাজন তৈর এবং,প্রভাবশালীদের সহায়তায় উচ্চ আদালত থেকে জামিন।।",0,"calltoviolence, crime, entertainment, geopolitical, political, religious"
❤️✊ � ������� পাপন হঠাও দেশ বাঁচাও পাপন নয় ন ভাত দিলে কি খয় শুদু পাপ হয় সেটাই পাপ দা ?,0,sports
❤❤❤❤❤ বাই কথাগুলা একের ছিলো। বালো লাগছে ।,0,"meme, tiktok and others"
�‍♂️জিম করলে মানুষের স্বাস্থ্য মন দুটোই ভালো থাকে। তাই বলবো প্রত্যেকটা ছেলে মেয়েরই জিম করা প্রয়োজন। অন্ততপক্ষে ঘণ্টার মধ্যে ঘন্টা জিম করা অভ্যাস করতে হবে। মিডিয়াতে যারা কাজ করে বা মিডিয়ার বাইরে যারা জীবন যাপন করে সব দেশে ছেলেমেয়েরা জিম করে।তাই নুসরাত ফারিয়াকে নিয়ে খারাপ মন্তব্য বা সমালোচনা করা সেটা ভালো কাজ নয়।কারো ব্যক্তিগত বিষয় নিয়ে নাক গলানো ঠিক নয়। সামনে তুমি এগিয়ে যাও আল্লাহ তোমার মঙ্গল করুক আমিন।,0,personal
������� ভাই আমরা আপনার পাশে আছি����,0,"meme, tiktok and others"
"১,২, ৬ এবং ৮ নং বিশেষভাবে প্রয়োজন",0,"meme, tiktok and others"
"১. সংসদে দাঁড়িয়ে একজন মন্ত্রী কিভাবে দেশের হাজার হাজার শিক্ষার্থীকে রাজাকার বলে বা বলাটা কতটুকু গ্রহনযোগ্য তা ব্যাখ্যা করবেন। ২. শাহবাগে অান্দোলন অাজকে নতুন না। ২০১৩ তে নিজের বুদ্ধি বয়সের সবচেয়ে বড় জনসমাগম দেখেছি। তখন কি হেলিকপ্টারে মানুষ শাহবাগ পার হত?? ৩. দেশের অর্ধশত বছর বয়সেও যদি অামরা মুক্তিযোদ্ধা পরিবারকে প্রতিষ্ঠিত করতে না পারি তবে সে ব্যর্থতা কাদের?? কথায় কথায় সবকিছুতে মুক্তিযুদ্ধ জড়িয়ে দেয়া বন্ধ করেন। ৪. বেশ কিছুদিন অান্দোলন চলছিল। তাহলে নম্র থাকা অবস্থায় কর্তৃপক্ষ কেন বিষয়টি অামলে নিল না?? * কোঠা কখনো বাতিল চাওয়া হয়নি,সংস্কার চাওয়া হয়েছিল। যদি কখনো সময় হয় বিষয়গুলো পরিস্কার করে দিয়ে যাবেন।",0,"calltoviolence, personal"
1.9k Haha & 1.1k Angry react...��,0,"meme, tiktok and others"
১। হুমায়ুন স্যার লিকেচিলেন আম্নে যুদ্ধের সুময় গর্তে লুহাইয়া আছিলেন!!!! তয় যুদ্ধের মর্ম আম্নে কিডা বুজার?,0,calltoviolence
"১৬ কোটি মানুষের মধ্যে মাত্র ২ জনের যোগ্যতা আছে ঢাকা ইউনিভার্সিটির ইংরেজি বিভাগে পড়ায়, এটা কিছুতেই মানতে পারছি না..",0,"meme, tiktok and others"
১৯ বছরের টগবগে তরুন আমাদের আজকের জাফর ইকবাল স্যার যুদ্ধে না গিয়ে পাকিদের ভয়ে নীলক্ষেতে বসে চুল কাটেন।সেতনে আইসচে আমাদেরকে চেতনা গল্প হুনাইতে।,0,calltoviolence
"২৯ তারিখ ছাত্র মারা যায়... তারপর আজকে ১১ দিন... স্যার এতদিন টানা কিভাবে ঘুমালেন??? আর কে ঘুম ভাংগালো আপনার... বরং আপনি ঘুমান... সেটাই ভাল...স্বাধীন দেশে একটা শব্দ করতে গেলেও যেখনে গুম হবার ভয় থাকে সেখানে আর যাই হোক, আপনাদের প্রতি শ্রদ্ধাবোধ থাকেনা... যাক তবুও যে সরকার সমালোচনা করেছেন সেটা দেখেই অবাক হচ্ছি... কোটা আন্দোলন কারীদের দেখে আপনার বমি আসছিলো... বমি কেটে গেলে সাবধানে থাইকেন... নয়তো যে বানী দিলেন তাতে আপনাকেও ধরে নিয়ে যেতে পারে...",0,crime
৩ নাম্বারে অনেকগুলা ডেটা দিছেন দেখলাম! ব্যাংক লুট এবং ব্যাংকগুলার দেউলিয়াত্বের ডেটা পাইলাম না কোথাও! ওইটাও তো উন্নয়নের সুচক! জনগনের টাকা বেশি হইছে তাই ব্যাংক থেকে লুটপাট জায়েজ হইছে।,0,"meme, tiktok and others"
"৪, ৬, ৮, ১০...পছন্দ হইছে ৪টা। :)",0,"meme, tiktok and others"
"৭১ এ রাজাকার'রা পাকিস্থানী'দের পা চেটেছে। আর এখন আপনার মত চেতনা ব্যবসায়ী'রা সুশীলগিরীর নামে, সব কিছুর উর্ব্ধে গিয়ে সরকার এবং ভারতের পা চাটছেন। তোহ, রাজাকার আর আপনাদের মাঝে পার্থক্য রইলো কী? দলপন্থী সুবিধাবাদী বুদ্ধিজীবি না হয়ে, দেশপন্থী এবং জনগণ পন্থী বুদ্ধিজীবি হোন। তবেই, মৃত্যুর পরেও মানুষ একজন খাঁটি দেশপ্রেম হিসাবে আপনাকে মনে রাখবে।",0,geopolitical
"৯৯.৯% কমেন্ট দ্বিমত শোষণকারী। এদের মধ্যে আবার ২০-৩০% নিচু মনমানসিকতার, যারা গালাগালি করতেছে। তবে বিনয়ের সাথে বলছি স্যার, অনেক তথ্যের গ্যাপ রয়ে গেছে।",0,slander
"AAminul Islam Rasel দোস্ত মজার মজার কমেন্ট পড়তে চলে আয়। বিশ্বাস কর আমি শুধু বিনোদনের আশায় আসলাম।অন্য কোন খারাপ উদ্দেশ্য আমার নাই,,,,,, হা হা হা",0,"entertainment, personal"
"Arif R Hossain 2 hrs · “প্রশ্নপত্র আউট হয়েছে... কিন্তু উত্তরপত্র তো আর আউট হয়নি” আমাদের সময়; ফার্স্টবয়দের কাছে যে নোট থাকত, সে মরে গেলেও সেকেন্ডবয়কে সেটা দেখাতো না তেমনি, সেকেন্ডবয়ের কাছে যে নোট থাকত, সেও সেটা থার্ডবয়কে দেখাতো না এভাবে চলতেই থাকত... আমি লাস্টবয়ও আমার নোট, ফার্স্টবয়কে দেখাতাম না (... এটা অবশ্য লজ্জায় দেখাতাম না) আমাদের সময় যদি পরীক্ষার আগের রাতে প্রশ্নপত্র আউটও হতো; তবুও ক্লাসের ফার্স্টবয়টা, তার নোটের জন্য পরীক্ষাতে ফার্স্টই হতো সারা বছর খেটে ... বিভিন্ন স্যারের কাছে ঘুরে ঘুরে... সে যে নোট বানিয়েছে, সেটার একটা মুল্য আছে না? পরীক্ষার আগের রাতে প্রশ্নপত্র আমি হাতে পেয়েও, কোনোদিনই ফার্স্ট বয়ের মত উত্তর লিখতে পারতাম না হ্যা... প্রশ্নপত্র আউট হওয়ায় অবশ্য লাভ হবে ক্লাসের সেই লাস্টবয়টার, যার পরীক্ষায় শিওর ফেল করার কথা ছিলো সে এখন পাশ করে যাবে তার মানে, পাশের হার বাড়বে... কিন্তু যার স্ট্যান্ড করার যোগ্যতা আছে, সে ঠিকই স্ট্যান্ড করবেই... আমাদের সময়, প্রথম সারির ভালো ছাত্রদের উপর প্রশ্নপত্র ফাঁসের কোনও প্রভাব কিন্তু পড়ত না কিন্তু এখনের ভালো ছাত্রদের উপর পড়ছে... কেন পড়ছে? ... কারণ আমাদের রেজাল্টের সিস্টেমটাতেই গলদ আছে আমাদের সময় সর্বোচ্চ রেজাল্ট i.e বোর্ড স্ট্যান্ড করত ২০ জন... আর এখন সর্বোচ্চ রেজাল্ট (গোল্ডেন জিপিএ) নাকি পায় লাখের উপরে আমি তো জানতাম... সমাজে, ভালোর ক্যাটাগরি থাকা উচিত ৩ টা; গুড / বেটার / বেস্ট কিন্তু বোর্ডের রেজাল্টে তো দেখি, বেস্টের সংখ্যাই বেশী ... দেশে এতোই যখন বেস্টরা আছে, তাহলে আজও দেশের এই অবস্থা কেন রে ভাই? আজ থেকে ৯ বছর আগে, আমি যখন ইংল্যান্ডে এমবিএ করি ... তখন আমাদের এক্সাম কিভাবে হতো জানেন? আমাদের এক্সাম হতো ‘Open Book Test’ বই নিয়ে আসো পরীক্ষার হলে... এবার খুঁজে খুঁজে উত্তর বের করে তা লিখো যে ভালো ছাত্র, সে ঠিকই জানে ৩০০ পৃষ্ঠার বইয়ে, উত্তরটা কোন কোন পেইজ ঘাঁটলে পাওয়া যাবে আর যে আমি, সারা বছর পড়িই নাই... সে বগলে করে হলে ৩ টা বই নিয়ে গেলেও লাভ হতো না... এদিক ওদিক তাকাতেই হতো সুতরাং... যে স্ট্যান্ড করার না, সে প্রশ্ন পত্র ফাঁস হলেও করবে না বড়োজোর পাশ করবে... দেশে পাশের হার বাড়বে কিন্তু স্কুলের যে ক্রিমগুলো আছে, তাদের ঠিকই উৎরে আসার কথা আচ্ছা এভাবে চিন্তা করেন, আজকে যদি বলা হয় ‘পরীক্ষার হলে নকল আনতে পারবেন’... তখন কি মনে করেন নকল করে কেউ বোর্ড স্ট্যান্ড করে ফেলতে পারবে? উহু... তার অবস্থান, আগে যেখানে ছিলো... সেখানেই থাকবে প্রশ্নপত্র আউট হওয়াটা অবশ্যই ক্ষতিকর ... অবশ্যই অবশ্যইই ক্ষতিকর... আমি শুধু বলতে চাচ্ছি; আমরা কিন্তু আসল প্রবলেমটা ধরতেও, দেরি করে ফেলছি ... প্রায়োরিটি লিস্টের ১ নম্বর প্রবলেমটা রেখে, আমরা ৩ বা ৪ নম্বর প্রবলেমটা নিয়ে উঠে পড়ে লেগেছি Like · · Share",0,personal
fb এত বড় লেখা আমি এই প্রথম মনযোগ নিয়েই পড়লাম।কোন কিছুই লেখার দুঃসাহস করলাম না।স্যার সব কিছুই সমাপন করেছেন।শুধুমাত্র উপস্থিতি বুঝানোর জন্যই লিখলাম।অসংখ্য ধন্যবাদ স্যারের জন্য রইল॥,0,personal
Muhammed বানানটা সংশোধন করুন।,0,"meme, tiktok and others"
"Niaj Mourshed, সাঈদীর বিরুদ্ধে ২০টি অভিযোগের মধ্যে ৮টি প্রমাণিত হয়েছে এবং এর মধ্যে দুটি কেইসে তার ফাঁসির রায় হয়েছে।",0,"meme, tiktok and others"
PECE বা JSC বন্ধ না করে এগুলোর সমস্যা দূর করা দরকার। মাথা ব্যাথা হলে আমরা কেউ মাথা কেটে ফেলি না। প্রশ্নপত্র ফাঁস হওয়া বন্ধ করা হোক। তথাকথিত পাসের শতকরা হার বাড়ানোর চেষ্টা বন্ধ করা হোক। শিক্ষার্থীদের পড়ালেখা করে পরীক্ষা দেওয়ার পরিবেশ নিশ্চিত করা হোক।,0,"meme, tiktok and others"
"salute sir............ স্যার এর বিরুদ্ধে কাদের ব্যবস্থা নিতে হবে ?? আমি মনে করি আমাদের, ছাত্রছাত্রীদের, নীতিবান শিক্ষকদের............।। আমাদের দেশের পড়াশুনা পদ্ধত্তি ছাত্র ছাত্রীদের থেকে যোজন যোজন দূরে............।। এই পরা লেখা যদি আমাদের মনের খোরাক না জোগাতে পারে, যদি হৃদয় কে না ছুতে পারে তাহলে জাতির ভবিষ্যৎ কি??",0,personal
"shariar pejon কে বলতে চাই, আপনি বললেন সব চাকুরীতে দলীয় লোক নিয়োগ দিচ্ছে সরকার! কথাটা ভুল, যারা প্রতিযোগিতায় না পেড়ে চাকুরি পায় না, তাহারাই বলে বেড়ায় টাকা ছাড়া চাকুরি হয়না। আমি এর বাস্তব প্রমাণ, ২০১০ সাল থেকে আজ পযর্ন্ত আমি ৬টি সরকারি চাকুরি পেয়েছি, কোন টাকা পয়সা, তদবির কিছুই লাগেনি। অথচ, গত জোট সরকারের সময় ৩বার এস আই এ ভাইভা দিয়েও হয়নি। আর বতর্মান সময়ে একবারই হয়ে গিয়ছিল। বুঝলেন @pejon ?",0,personal
"sir , জন্মদিনের শুভেচ্ছা.",0,"meme, tiktok and others"
sir আপনি কী ইদানীং BTV বেশী দেখছেন?,0,"meme, tiktok and others"
"sir আমি দুঃখিত যে এই প্রথম আপনার মতের সাথে একমত হতে পারছিনা। আমদের বিশ্ববিদ্যালয় পরীক্ষা গুলো একসাথে হলে অনেক সমস্যা হতে পারে, যেমন আমাদের পারিপার্শ্বিক অবস্থা সবসময় এক না ও হতে পারে। খুব specific করে বললে; আমার এক পরিচিতর admissions text এর আগের দিন তার বাবা মারা যায় ফলে সে পরেরদিনের পরীক্ষায় অংশ নিতে পারেনি।। এখন যদি একটাই পরীক্ষা হয় আর তা যদি হয় 2nd time, তবে ভেবে দেখুন!! আমি আপনার পক্ষের যুক্তি বুঝছি তবে এর প্রতিক্রিয়াও খুব ভাল হবে তা তো না।। আমদের মত মধ্যবিত্ত পরিবারের জন্য পাবলিক বিশ্ববিদ্যালয়ে chance না পাওয়ার থেকে, কোচিং এর ওই ৮০০০ টাকা দেয়া সুবিধাজনক! আর যে হারে প্রশ্নপত্র ফাঁস হচ্ছে সেখানে ভর্তি পরীক্ষা আলাদা হওয়াটাই উপযুক্ত বলে আমার মনে হয়।",0,"crime, personal"
"Sir, আমি আপনার লেখাটা পড়েছি। কিন্তু আমি জানিনা আমার কমেন্টস্ টা আপনা নজরে পড়বে কিনা। আপনার লেখাটা খুব ভালো লেগেছে। তবে একটা পশ্ন করি আপনাকে- তৃতীয় শেণির চাকুরিটা কি ঘৃনিত পেশা। আমার জানা মতে পাইমারী স্কুলে আনেক শিক্ষক আছে এসএসসি, এইচএসসি পাস। অনেক তৃতীয় শেণির কমচারী আছে বিএ, এমএ পাস করা। তাদের কপালে এই চাকুরী লিখা আছে তাই এটা করছে। তাই বলে আমি শিক্ষকদের ছোট করে দেখছিনা। আপনার কথায় মনে হলো এটা চতুথ শেণির চেয়েও খারাপ। এই শেনির দরকার নাই আপনি কি বলেন? (বানান ভুল গুলো অনিচ্ছাকৃত, মোবাইলের কারণে)",0,personal
"sir,আপনাদের মত কিছু মানুষ আছে বলেই বেচে থাকার সাহস tuku পাই...",0,"meme, tiktok and others"
